SISTER	NN
CARRIE	NNP
Sister	NNP
Carrie	NNP
By	IN
Theodore	NNP
Dreiser	NNP
NEW	NNP
YORK	NNP
Doubleday	NNP
,	,
Page	NNP
&	CC
Co.	NNP
.	.

1900	CD
COPYRIGHT	NNP
,	,
1900	CD
,	,
BY	IN
DOUBLEDAY	NNP
,	,
PAGE	NNP
&	CC
CO.	NNP
.	.

TO	TO
MY	NNP
FRIEND	NNP
ARTHUR	NNP
HENRY	NNP
WHOSE	NNP
STEADFAST	JJ
IDEALS	NNS
AND	CC
SERENE	JJ
DEVOTION	NN
TO	TO
TRUTH	NN
AND	CC
BEAUTY	NN
HAVE	VBP
SERVED	VBD
TO	TO
LIGHTEN	VB
THE	DT
METHOD	NN
AND	CC
STRENGTHEN	VB
THE	DT
PURPOSE	NN
OF	IN
THIS	NNP
VOLUME	NNP
.	.

SISTER	NN
CARRIE	NNP
SISTER	NNP
CARRIE	NNP
CHAPTER	NNP
I	PRP
THE	DT
MAGNET	NNP
ATTRACTING	NNP
:	:
A	NNP
WAIF	NNP
AMID	NNP
FORCES	NNP
When	WRB
Caroline	NNP
Meeber	NNP
boarded	VBD
the	DT
afternoon	NN
train	NN
for	IN
Chicago	NNP
,	,
her	PRP$
total	JJ
outfit	NN
consisted	VBD
of	IN
a	DT
small	JJ
trunk	NN
,	,
a	DT
cheap	JJ
imitation	NN
alligator-skin	JJ
satchel	NN
,	,
a	DT
small	JJ
lunch	NN
in	IN
a	DT
paper	NN
box	NN
,	,
and	CC
a	DT
yellow	JJ
leather	NN
snap	NN
purse	NN
,	,
containing	VBG
her	PRP$
ticket	NN
,	,
a	DT
scrap	NN
of	IN
paper	NN
with	IN
her	PRP$
sister	NN
's	POS
address	NN
in	IN
Van	NNP
Buren	NNP
Street	NNP
,	,
and	CC
four	CD
dollars	NNS
in	IN
money	NN
.	.

It	PRP
was	VBD
in	IN
August	NNP
,	,
1889	CD
.	.

She	PRP
was	VBD
eighteen	CD
years	NNS
of	IN
age	NN
,	,
bright	JJ
,	,
timid	JJ
,	,
and	CC
full	JJ
of	IN
the	DT
illusions	NNS
of	IN
ignorance	NN
and	CC
youth	NN
.	.

Whatever	WDT
touch	NN
of	IN
regret	NN
at	IN
parting	NN
characterised	VBD
her	PRP$
thoughts	NNS
,	,
it	PRP
was	VBD
certainly	RB
not	RB
for	IN
advantages	NNS
now	RB
being	VBG
given	VBN
up	RP
.	.

A	DT
gush	VBP
of	IN
tears	NNS
at	IN
her	PRP$
mother	NN
's	POS
farewell	NN
kiss	NN
,	,
a	DT
touch	NN
in	IN
her	PRP$
throat	NN
when	WRB
the	DT
cars	NNS
clacked	VBN
by	IN
the	DT
flour	NN
mill	NN
where	WRB
her	PRP$
father	NN
worked	VBN
by	IN
the	DT
day	NN
,	,
a	DT
pathetic	JJ
sigh	NN
as	IN
the	DT
familiar	JJ
green	JJ
environs	NNS
of	IN
the	DT
village	NN
passed	VBN
in	IN
review	NN
,	,
and	CC
the	DT
threads	NNS
which	WDT
bound	VBD
her	PRP
so	RB
lightly	RB
to	TO
girlhood	NN
and	CC
home	NN
were	VBD
irretrievably	RB
broken	VBN
.	.

To	TO
be	VB
sure	JJ
there	EX
was	VBD
always	RB
the	DT
next	JJ
station	NN
,	,
where	WRB
one	NN
might	MD
descend	VB
and	CC
return	VB
.	.

There	EX
was	VBD
the	DT
great	JJ
city	NN
,	,
bound	VBD
more	RBR
closely	RB
by	IN
these	DT
very	RB
trains	NNS
which	WDT
came	VBD
up	RP
daily	RB
.	.

Columbia	NNP
City	NNP
was	VBD
not	RB
so	RB
very	RB
far	RB
away	RB
,	,
even	RB
once	IN
she	PRP
was	VBD
in	IN
Chicago	NNP
.	.

What	WDT
,	,
pray	NN
,	,
is	VBZ
a	DT
few	JJ
hours	NNS
--	:
a	DT
few	JJ
hundred	CD
miles	NNS
?	.

She	PRP
looked	VBD
at	IN
the	DT
little	JJ
slip	NN
bearing	VBG
her	PRP$
sister	NN
's	POS
address	NN
and	CC
wondered	VBD
.	.

She	PRP
gazed	VBD
at	IN
the	DT
green	JJ
landscape	NN
,	,
now	RB
passing	VBG
in	IN
swift	JJ
review	NN
,	,
until	IN
her	PRP$
swifter	JJR
thoughts	NNS
replaced	VBD
its	PRP$
impression	NN
with	IN
vague	JJ
conjectures	NNS
of	IN
what	WP
Chicago	NNP
might	MD
be	VB
.	.

When	WRB
a	DT
girl	NN
leaves	VBZ
her	PRP$
home	NN
at	IN
eighteen	CD
,	,
she	PRP
does	VBZ
one	CD
of	IN
two	CD
things	NNS
.	.

Either	CC
she	PRP
falls	VBZ
into	IN
saving	VBG
hands	NNS
and	CC
becomes	VBZ
better	RBR
,	,
or	CC
she	PRP
rapidly	RB
assumes	VBZ
the	DT
cosmopolitan	JJ
standard	NN
of	IN
virtue	NN
and	CC
becomes	VBZ
worse	JJR
.	.

Of	IN
an	DT
intermediate	JJ
balance	NN
,	,
under	IN
the	DT
circumstances	NNS
,	,
there	EX
is	VBZ
no	DT
possibility	NN
.	.

The	DT
city	NN
has	VBZ
its	PRP$
cunning	JJ
wiles	NNS
,	,
no	DT
less	JJR
than	IN
the	DT
infinitely	RB
smaller	JJR
and	CC
more	RBR
human	JJ
tempter	NN
.	.

There	EX
are	VBP
large	JJ
forces	NNS
which	WDT
allure	NN
with	IN
all	PDT
the	DT
soulfulness	NN
of	IN
expression	NN
possible	JJ
in	IN
the	DT
most	RBS
cultured	VBN
human	JJ
.	.

The	DT
gleam	NN
of	IN
a	DT
thousand	CD
lights	NNS
is	VBZ
often	RB
as	IN
effective	JJ
as	IN
the	DT
persuasive	JJ
light	NN
in	IN
a	DT
wooing	VBG
and	CC
fascinating	JJ
eye	NN
.	.

Half	NN
the	DT
undoing	NN
of	IN
the	DT
unsophisticated	JJ
and	CC
natural	JJ
mind	NN
is	VBZ
accomplished	VBN
by	IN
forces	NNS
wholly	RB
superhuman	JJ
.	.

A	DT
blare	NN
of	IN
sound	NN
,	,
a	DT
roar	NN
of	IN
life	NN
,	,
a	DT
vast	JJ
array	NN
of	IN
human	JJ
hives	NNS
,	,
appeal	NN
to	TO
the	DT
astonished	JJ
senses	NNS
in	IN
equivocal	JJ
terms	NNS
.	.

Without	IN
a	DT
counsellor	NN
at	IN
hand	NN
to	TO
whisper	VB
cautious	JJ
interpretations	NNS
,	,
what	WDT
falsehoods	NNS
may	MD
not	RB
these	DT
things	NNS
breathe	VBP
into	IN
the	DT
unguarded	JJ
ear	NN
!	.

Unrecognised	VBN
for	IN
what	WP
they	PRP
are	VBP
,	,
their	PRP$
beauty	NN
,	,
like	IN
music	NN
,	,
too	RB
often	RB
relaxes	VBZ
,	,
then	RB
weakens	VBZ
,	,
then	RB
perverts	VBZ
the	DT
simpler	JJR
human	JJ
perceptions	NNS
.	.

Caroline	NNP
,	,
or	CC
Sister	NNP
Carrie	NNP
,	,
as	IN
she	PRP
had	VBD
been	VBN
half	JJ
affectionately	RB
termed	VBN
by	IN
the	DT
family	NN
,	,
was	VBD
possessed	VBN
of	IN
a	DT
mind	NN
rudimentary	JJ
in	IN
its	PRP$
power	NN
of	IN
observation	NN
and	CC
analysis	NN
.	.

Self-interest	NN
with	IN
her	PRP
was	VBD
high	JJ
,	,
but	CC
not	RB
strong	JJ
.	.

It	PRP
was	VBD
,	,
nevertheless	RB
,	,
her	PRP$
guiding	VBG
characteristic	JJ
.	.

Warm	JJ
with	IN
the	DT
fancies	VBZ
of	IN
youth	NN
,	,
pretty	RB
with	IN
the	DT
insipid	JJ
prettiness	NN
of	IN
the	DT
formative	JJ
period	NN
,	,
possessed	VBD
of	IN
a	DT
figure	NN
promising	JJ
eventual	JJ
shapeliness	NN
and	CC
an	DT
eye	NN
alight	RB
with	IN
certain	JJ
native	JJ
intelligence	NN
,	,
she	PRP
was	VBD
a	DT
fair	JJ
example	NN
of	IN
the	DT
middle	JJ
American	JJ
class	NN
--	:
two	CD
generations	NNS
removed	VBN
from	IN
the	DT
emigrant	NN
.	.

Books	NNS
were	VBD
beyond	IN
her	PRP$
interest	NN
--	:
knowledge	NN
a	DT
sealed	VBN
book	NN
.	.

In	IN
the	DT
intuitive	JJ
graces	VBZ
she	PRP
was	VBD
still	RB
crude	JJ
.	.

She	PRP
could	MD
scarcely	RB
toss	VB
her	PRP$
head	NN
gracefully	RB
.	.

Her	PRP$
hands	NNS
were	VBD
almost	RB
ineffectual	JJ
.	.

The	DT
feet	NNS
,	,
though	IN
small	JJ
,	,
were	VBD
set	VBN
flatly	RB
.	.

And	CC
yet	RB
she	PRP
was	VBD
interested	JJ
in	IN
her	PRP$
charms	NNS
,	,
quick	JJ
to	TO
understand	VB
the	DT
keener	NN
pleasures	NNS
of	IN
life	NN
,	,
ambitious	JJ
to	TO
gain	VB
in	IN
material	NN
things	NNS
.	.

A	DT
half-equipped	JJ
little	JJ
knight	NN
she	PRP
was	VBD
,	,
venturing	VBG
to	TO
reconnoitre	VB
the	DT
mysterious	JJ
city	NN
and	CC
dreaming	VBG
wild	JJ
dreams	NNS
of	IN
some	DT
vague	JJ
,	,
far-off	JJ
supremacy	NN
,	,
which	WDT
should	MD
make	VB
it	PRP
prey	NN
and	CC
subject	NN
--	:
the	DT
proper	JJ
penitent	JJ
,	,
grovelling	VBG
at	IN
a	DT
woman	NN
's	POS
slipper	NN
.	.

``	``
That	DT
,	,
''	''
said	VBD
a	DT
voice	NN
in	IN
her	PRP$
ear	NN
,	,
``	``
is	VBZ
one	CD
of	IN
the	DT
prettiest	JJS
little	JJ
resorts	NNS
in	IN
Wisconsin	NNP
.	.
''	''

``	``
Is	VBZ
it	PRP
?	.
''	''

she	PRP
answered	VBD
nervously	RB
.	.

The	DT
train	NN
was	VBD
just	RB
pulling	VBG
out	IN
of	IN
Waukesha	NNP
.	.

For	IN
some	DT
time	NN
she	PRP
had	VBD
been	VBN
conscious	JJ
of	IN
a	DT
man	NN
behind	RB
.	.

She	PRP
felt	VBD
him	PRP
observing	VBG
her	PRP$
mass	NN
of	IN
hair	NN
.	.

He	PRP
had	VBD
been	VBN
fidgetting	VBG
,	,
and	CC
with	IN
natural	JJ
intuition	NN
she	PRP
felt	VBD
a	DT
certain	JJ
interest	NN
growing	VBG
in	IN
that	DT
quarter	NN
.	.

Her	PRP$
maidenly	JJ
reserve	NN
,	,
and	CC
a	DT
certain	JJ
sense	NN
of	IN
what	WP
was	VBD
conventional	JJ
under	IN
the	DT
circumstances	NNS
,	,
called	VBD
her	PRP
to	TO
forestall	VB
and	CC
deny	VB
this	DT
familiarity	NN
,	,
but	CC
the	DT
daring	JJ
and	CC
magnetism	NN
of	IN
the	DT
individual	NN
,	,
born	VBN
of	IN
past	JJ
experiences	NNS
and	CC
triumphs	NNS
,	,
prevailed	VBD
.	.

She	PRP
answered	VBD
.	.

He	PRP
leaned	VBD
forward	RB
to	TO
put	VB
his	PRP$
elbows	NNS
upon	IN
the	DT
back	NN
of	IN
her	PRP$
seat	NN
and	CC
proceeded	VBD
to	TO
make	VB
himself	PRP
volubly	RB
agreeable	JJ
.	.

``	``
Yes	UH
,	,
that	DT
is	VBZ
a	DT
great	JJ
resort	NN
for	IN
Chicago	NNP
people	NNS
.	.

The	DT
hotels	NNS
are	VBP
swell	NN
.	.

You	PRP
are	VBP
not	RB
familiar	JJ
with	IN
this	DT
part	NN
of	IN
the	DT
country	NN
,	,
are	VBP
you	PRP
?	.
''	''

``	``
Oh	UH
,	,
yes	UH
,	,
I	PRP
am	VBP
,	,
''	''
answered	VBN
Carrie	NNP
.	.

``	``
That	DT
is	VBZ
,	,
I	PRP
live	VBP
at	IN
Columbia	NNP
City	NNP
.	.

I	PRP
have	VBP
never	RB
been	VBN
through	IN
here	RB
,	,
though	IN
.	.
''	''

``	``
And	CC
so	RB
this	DT
is	VBZ
your	PRP$
first	JJ
visit	NN
to	TO
Chicago	NNP
,	,
''	''
he	PRP
observed	VBD
.	.

All	PDT
the	DT
time	NN
she	PRP
was	VBD
conscious	JJ
of	IN
certain	JJ
features	NNS
out	IN
of	IN
the	DT
side	NN
of	IN
her	PRP$
eye	NN
.	.

Flush	JJ
,	,
colourful	JJ
cheeks	NNS
,	,
a	DT
light	JJ
moustache	NN
,	,
a	DT
grey	JJ
fedora	NN
hat	NN
.	.

She	PRP
now	RB
turned	VBD
and	CC
looked	VBD
upon	IN
him	PRP
in	IN
full	JJ
,	,
the	DT
instincts	NNS
of	IN
self-protection	NN
and	CC
coquetry	NN
mingling	NN
confusedly	RB
in	IN
her	PRP$
brain	NN
.	.

``	``
I	PRP
did	VBD
n't	RB
say	VB
that	IN
,	,
''	''
she	PRP
said	VBD
.	.

``	``
Oh	UH
,	,
''	''
he	PRP
