THE	DT
GOLDEN	NNP
BOWL	NNP
Volumes	NNPS
I	PRP
and	CC
II	CD
,	,
Complete	JJ
By	IN
Henry	NNP
James	NNP
1904	CD
BOOK	NNP
FIRST	NNP
:	:
THE	DT
PRINCE	NNP
PART	NNP
FIRST	NNP
I	PRP
The	DT
Prince	NNP
had	VBD
always	RB
liked	VBN
his	PRP$
London	NNP
,	,
when	WRB
it	PRP
had	VBD
come	VBN
to	TO
him	PRP
;	:
he	PRP
was	VBD
one	CD
of	IN
the	DT
modern	JJ
Romans	NNPS
who	WP
find	VBP
by	IN
the	DT
Thames	NNP
a	DT
more	RBR
convincing	JJ
image	NN
of	IN
the	DT
truth	NN
of	IN
the	DT
ancient	JJ
state	NN
than	IN
any	DT
they	PRP
have	VBP
left	VBN
by	IN
the	DT
Tiber	NNP
.	.

Brought	VBN
up	RP
on	IN
the	DT
legend	NN
of	IN
the	DT
City	NNP
to	TO
which	WDT
the	DT
world	NN
paid	VBD
tribute	NN
,	,
he	PRP
recognised	VBD
in	IN
the	DT
present	JJ
London	NNP
much	RB
more	JJR
than	IN
in	IN
contemporary	JJ
Rome	NNP
the	DT
real	JJ
dimensions	NNS
of	IN
such	PDT
a	DT
case	NN
.	.

If	IN
it	PRP
was	VBD
a	DT
question	NN
of	IN
an	DT
Imperium	NNP
,	,
he	PRP
said	VBD
to	TO
himself	PRP
,	,
and	CC
if	IN
one	CD
wished	VBD
,	,
as	IN
a	DT
Roman	NNP
,	,
to	TO
recover	VB
a	DT
little	JJ
the	DT
sense	NN
of	IN
that	DT
,	,
the	DT
place	NN
to	TO
do	VB
so	RB
was	VBD
on	IN
London	NNP
Bridge	NNP
,	,
or	CC
even	RB
,	,
on	IN
a	DT
fine	JJ
afternoon	NN
in	IN
May	NNP
,	,
at	IN
Hyde	NNP
Park	NNP
Corner	NN
.	.

It	PRP
was	VBD
not	RB
indeed	RB
to	TO
either	DT
of	IN
those	DT
places	NNS
that	IN
these	DT
grounds	NNS
of	IN
his	PRP$
predilection	NN
,	,
after	IN
all	DT
sufficiently	RB
vague	JJ
,	,
had	VBD
,	,
at	IN
the	DT
moment	NN
we	PRP
are	VBP
concerned	VBN
with	IN
him	PRP
,	,
guided	VBD
his	PRP$
steps	NNS
;	:
he	PRP
had	VBD
strayed	VBN
,	,
simply	RB
enough	RB
,	,
into	IN
Bond	NNP
Street	NNP
,	,
where	WRB
his	PRP$
imagination	NN
,	,
working	VBG
at	IN
comparatively	RB
short	JJ
range	NN
,	,
caused	VBD
him	PRP
now	RB
and	CC
then	RB
to	TO
stop	VB
before	IN
a	DT
window	NN
in	IN
which	WDT
objects	NNS
massive	JJ
and	CC
lumpish	JJ
,	,
in	IN
silver	NN
and	CC
gold	NN
,	,
in	IN
the	DT
forms	NNS
to	TO
which	WDT
precious	JJ
stones	NNS
contribute	VBP
,	,
or	CC
in	IN
leather	NN
,	,
steel	NN
,	,
brass	NN
,	,
applied	VBD
to	TO
a	DT
hundred	CD
uses	NNS
and	CC
abuses	NNS
,	,
were	VBD
as	IN
tumbled	VBN
together	RB
as	IN
if	IN
,	,
in	IN
the	DT
insolence	NN
of	IN
the	DT
Empire	NNP
,	,
they	PRP
had	VBD
been	VBN
the	DT
loot	NN
of	IN
far-off	JJ
victories	NNS
.	.

The	DT
young	JJ
man	NN
's	POS
movements	NNS
,	,
however	RB
,	,
betrayed	VBD
no	DT
consistency	NN
of	IN
attention	NN
--	:
not	RB
even	RB
,	,
for	IN
that	DT
matter	NN
,	,
when	WRB
one	CD
of	IN
his	PRP$
arrests	NNS
had	VBD
